codigo,disciplina,turma,horario,local,docente,tipo_componente,modalidade_educacao,unidade_responsavel,codigo_componente,nome_componente,pre_requisitos,co_requisitos,equivalencias,excluir_avaliacao,matriculavel_online,horario_flexivel,permite_multiplas_aprovacoes,quantidade_avaliacoes,ementa,carga_horaria_total
01,FGA0025 - SISTEMAS DE ENERGIA SOLAR E EÓLICA,JORGE ANDRES CORMANE ANGARITA (60h),"24T23
											


		

											Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50",,40,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,SISTEMAS DE ENERGIA SOLAR E EÓLICA,( ( FGA0086 E FGA0087 ) ),-,Nenhuma,Não,Sim,Não,Não,1,"Fundamentos teóricos: conversão e armazenamento de energia, calor, eletricidade, trabalho, termodinâmica e eletromagnetismo Tecnologias de transformação e armazenamento de energia: solar e eólica, e baterias e acumuladores	Fontes energia solar e eólica no Mundo e no Brasil.",Não informado
01,FGA0030 - ESTRUTURAS DE DADOS 2,BRUNO CESAR RIBAS (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,130,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,ESTRUTURAS DE DADOS 2,( ( FGA0147 ) OU ( FGA0146 ) ),-,FGA0029 (ESTRUTURAS DE DADOS E ALGORITMOS 2),Não,Sim,Não,Não,1,"- Estruturas não-lineares. Árvores. Tabelas hash. Grafos- Filas de prioridade. Heap- Algoritmos de ordenação avançados O(n log n), O(n)- Algoritmos de manipulação e análise de grafos- Aplicações",Não informado
01,FGA0037 - TÓPICOS ESPECIAIS EM ENGENHARIA AEROESPACIAL,RAFAEL CASTILHO FARIA MENDES (60h),"2M1234
											


		

											Segunda-feira 08:00 às 11:50",,25,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,TÓPICOS ESPECIAIS EM ENGENHARIA AEROESPACIAL,-,-,Nenhuma,Não,Sim,Não,Sim,1,A definir,Não informado
02,FGA0037 - TÓPICOS ESPECIAIS EM ENGENHARIA AEROESPACIAL,WILLIAM REIS SILVA (60h),"46T23
											


		

											Quarta-feira 14:00 às 15:50Sexta-feira 14:00 às 15:50",,25,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,TÓPICOS ESPECIAIS EM ENGENHARIA AEROESPACIAL,-,-,Nenhuma,Não,Sim,Não,Sim,1,A definir,Não informado
01,FGA0038 - AERODINÂMICA DE SISTEMAS AEROESPACIAIS,OLEXIY SHYNKARENKO (75h),"35T45 6T4
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50Sexta-feira 16:00 às 16:55",,45,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,AERODINÂMICA DE SISTEMAS AEROESPACIAIS,( ( FGA0204 ) ),-,Nenhuma,Não,Sim,Não,Não,1,"Introduz princípios fundamentais da aerodinâmica de sistemas aeroespaciais: veículos aéreos e espaciais, estudando elementos de escoamentos de alta e baixa velocidade, internos e externos Tópicos em escoamentos incompressíveis incluem: teoria e modelagem escoamentos incompressíveis bidimensionais e tridimensionais, e camada limite laminar e turbulenta aplicadas a aerofólios e asas Tópicos em escoamentos compressíveis incluem: teoria e modelagem de propagação de ondas de choque e camada limite compressível aplicadas a aerofólios, asas, bocais, difusores e túneis de vento.",Não informado
01,FGA0039 - MECÂNICA DE ESTRUTURAS AEROESPACIAIS,ARTEM ANDRIANOV (75h),"2M5 35M12
											


		

											Segunda-feira 12:00 às 12:55Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50",,45,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,MECÂNICA DE ESTRUTURAS AEROESPACIAIS,( ( FGA0179 ) ),-,Nenhuma,Não,Sim,Não,Não,1,"Ementa1 - Análise e projeto de estruturas de alta tecnologia aplicadas no campo aeroespacial2 - Revisão e aprofundamento de conceitos de mecânica dos sólidos como teoria tridimensional de elasticidade, tensão, deformação, materiais anisotrópicos, efeitos térmicos, estado plano de tensão e de deformação bidimensional, teoria de torção para seções arbitrárias, e flexão de seções assimétricas e de barras de  material compósito 3 - Tópicos incluem, ainda, flexão, cisalhamento, e torção de vigas e cascas de parede fina, e fenômenos ligados à estabilidade e instabilidade de deformação de colunas4 - Estratégias de abordagem para solução de problemas incluem ferramentas analíticas e numéricas (elementos finitos, elementos de contorno, etc).",Não informado
01,FGA0040 - SISTEMAS DE CONTROLE AUTOMOTIVO,RAFAEL RODRIGUES DA SILVA (60h),"24M34
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50",,16,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,SISTEMAS DE CONTROLE AUTOMOTIVO,( ( FGA0102 ) ),-,Nenhuma,Não,Sim,Não,Não,1,Introdução ao problema de sistemas de controle. Modelagem matemática de sistemas dinâmicos. Estabilidade. Regime transitório e permanente. Algoritmos de controle. Aplicação de controladores em sistemas automotivos.,Não informado
01,FGA0043 - DINÂMICA DOS GASES PARA SISTEMAS AEROESPACIAIS,OLEXIY SHYNKARENKO (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,30,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,DINÂMICA DOS GASES PARA SISTEMAS AEROESPACIAIS,( ( FGA0038 ) ),-,Nenhuma,Não,Sim,Não,Não,1,"Escoamentos supersônicos Escoamentos hipersônicos Equilíbrio e não-equilíbrio, escoamentos congelados e escoamentos reativos Camada limite e turbulênciaEscoamentos rarefeitos",Não informado
01,FGA0045 - MECÂNICA DO VÔO,"THIAGO FELIPPE KURUDEZ CORDEIRO (30h)
										
										
										POLLIANA CANDIDA OLIVEIRA MARTINS (30h)","46M34
											


		

											Quarta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50",,45,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,MECÂNICA DO VÔO,( ( FGA0008 E FGA0038 ) ),-,Nenhuma,Não,Sim,Não,Não,1,"Equacionamento do movimento de uma aeronave considerada como corpo rígido: análise dinâmica e cinemática Conceitos fundamentais da dinâmica e controle de atitude de aeronaves Construção do modelo da aeronave e superfícies de controle: aerodinâmica básica, forças e momentos, o modelo não-linear da aeronave, modelos lineares e derivadas de estabilidade e as relações com o desempenho e projeto da aeronave Ferramentas Analíticas e Computacionais: modelos dos subsistemas, modelos de aeronave para simulação, vôo permanente compensado, solução numérica das equações de estado, linearização, simulação com equações lineares invariantes no tempo, controle com realimentação.",Não informado
01,FGA0047 - PROCESSOS PETROQUÍMICOS,ANDREIA ALVES COSTA LINDINGER (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,45,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,PROCESSOS PETROQUÍMICOS,( ( FGA0156 E FGA0175 ) ),-,Nenhuma,Não,Sim,Não,Não,1,"I. Fundamentos teóricos: visão geral sobre a refinariaII. Características físico-químicas da matéria prima e dos produtos obtidos do refinoIII. Unidades de uma refinaria: destilação atmosférica e a vácuo, coqueamento retardado, craqueamentos térmico e catalítico, reforma catalítica, alquilação e isomerização, hidrorrefino, tratamentos convencionais de derivados, geração de hidrogênio e recuperação de enxofreIV. Processos ambientais existentes nas refinarias",Não informado
01,FGA0048 - MECÂNICA DO VOO ESPACIAL,WILLIAM REIS SILVA (60h),"46M34
											


		

											Quarta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50",,45,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,MECÂNICA DO VOO ESPACIAL,( ( FGA0045 ) ),-,Nenhuma,Não,Sim,Não,Não,1,Problemas de dois e três corpos. Elementos orbitais Trajetória de mísseis balísticos. Lançamento de um satélite artificial Manobras orbitais básicas Dinâmica e controle de atitude Trajetórias de baixo empuxo.,Não informado
01,FGA0050 - DINÂMICA DE ESTRUTURAS AEROESPACIAIS,SERGIO HENRIQUE DA SILVA CARNEIRO (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,45,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,DINÂMICA DE ESTRUTURAS AEROESPACIAIS,( ( FGA0039 E FGA0102 ) ),-,Nenhuma,Não,Sim,Não,Não,1,"Aplica conceitos de dinâmica, estruturas e matemática à dinâmica de componentes estruturais aeroespaciais, incluindo métodos de análise dinâmica, vibrações características, medição de vibrações, estabilidade dinâmica, teorema da energia cinética, princípio dos trabalhos virtuais, princípio de D'Alembert, equações de Euler e Lagrange. Estratégias de abordagem para solução de problemas incluem ferramentas analíticas e numéricas (elementos finitos, elementos de contorno, etc).",Não informado
01,FGA0053 - TÓPICOS ESPECIAIS EM PROGRAMAÇÃO,"MAURICIO SERRANO (30h)
										
										
										MILENE SERRANO (30h)","2T2345
											


		

											Segunda-feira 14:00 às 17:50",,35,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,TÓPICOS ESPECIAIS EM PROGRAMAÇÃO,-,-,Nenhuma,Não,Sim,Não,Sim,1,"Ementa variável, abordando temas que solicitam uma reflexão acadêmica, voltada para questões práticas. A cada semestre a disciplina terá uma ementa específica, a ser definida pelo professor responsável.",Não informado
01,FGA0054 - TÓPICOS ESPECIAIS EM GOVERNANÇA DE TECNOLOGIA DA INFORMAÇÃO,WANDER CLEBER MARIA PEREIRA DA SILVA (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,35,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,TÓPICOS ESPECIAIS EM GOVERNANÇA DE TECNOLOGIA DA INFORMAÇÃO,-,-,Nenhuma,Não,Sim,Não,Sim,1,"Ementa variável, abordando temas que solicitam uma reflexão acadêmica, voltada para questões práticas. A cada semestre a disciplina terá uma ementa específica, a ser definida pelo professor responsável.",Não informado
01,FGA0055 - TECNOLOGIAS DE FABRICAÇÃO 1,RHANDER VIANA (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,22,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,TECNOLOGIAS DE FABRICAÇÃO 1,( ( FGA0078 E FGA0075 ) ),-,Nenhuma,Não,Sim,Não,Não,1,"1. Tolerâncias, Ajustes e Acabamento Superficial2. Fundamentos de Usinagem dos Metais 3. Fundamentos de Conformação Mecânica",Não informado
01,FGA0056 - TECNOLOGIAS DE FABRICAÇÃO 2,EDISON GUSTAVO CUEVA GALARRAGA (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,20,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,TECNOLOGIAS DE FABRICAÇÃO 2,( ( FGA0078 E FGA0075 ) ),-,Nenhuma,Não,Sim,Não,Não,1,1. Fundição e Fusão dos Metais 2. Processos de soldagem,Não informado
01,FGA0060 - SISTEMAS DE BANCO DE DADOS 2,VANDOR ROBERTO VILARDI RISSOLI (60h),"35M12
											


		

											Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50",,80,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,SISTEMAS DE BANCO DE DADOS 2,( ( FGA0137 ) ),-,FGA0059 (LABORATÓRIO DE BANCO DE DADOS),Não,Sim,Não,Não,1,EmentaProjeto Físico de Banco de Dados RelacionalProgramação no Servidor de Banco de Dados RelacionalAlternativas de modelagem conceitual em relação ao paradigma ERTecnologias e modelagens voltadas para dados semiestruturados e não estruturadosArquiteturas e estratéégias para grandes volumes de dados,Não informado
02,FGA0060 - SISTEMAS DE BANCO DE DADOS 2,VANDOR ROBERTO VILARDI RISSOLI (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,80,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,SISTEMAS DE BANCO DE DADOS 2,( ( FGA0137 ) ),-,FGA0059 (LABORATÓRIO DE BANCO DE DADOS),Não,Sim,Não,Não,1,EmentaProjeto Físico de Banco de Dados RelacionalProgramação no Servidor de Banco de Dados RelacionalAlternativas de modelagem conceitual em relação ao paradigma ERTecnologias e modelagens voltadas para dados semiestruturados e não estruturadosArquiteturas e estratéégias para grandes volumes de dados,Não informado
01,FGA0062 - PROJETO DE SISTEMAS DE OBSERVAÇÃO DA TERRA,RONNE TOLEDO (60h),"24T45
											


		

											Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50",,45,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,PROJETO DE SISTEMAS DE OBSERVAÇÃO DA TERRA,MAT0027,-,Nenhuma,Não,Sim,Não,Não,1,"Introdução aos SOT: histórico, elementos e fundamentos físicos.Aquisição de imagens: câmeras, imagens digitais, satélites de observação, varreduras multiespectral, termal, hiperespectral e por micro-ondas sensoriamento por sistemas de radar e lidar.Fundamentos de processamento digital de imagens e reconhecimento de padrões.Aplicações e estudos de caso.",Não informado
01,FGA0063 - PROPULSÃO AERONÁUTICA,RAFAEL CASTILHO FARIA MENDES (60h),"46M34
											


		

											Quarta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50",,48,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,PROPULSÃO AERONÁUTICA,( ( FGA0043 E ENM0071 ) ),-,Nenhuma,Não,Sim,Não,Não,1,"Fundamentos teóricos: ciclos termodinâmicos e escoamentos quase-1D compressíveis, introdução aos escoamentos reativos.Motores a combustão interna (pistões).Motores a jato: turbinas a gás, estatoreatores.",Não informado
02,FGA0067 - TEORIA DE CIRCUITOS ELETRÔNICOS 1,EULER DE VILHENA GARCIA (60h),"35M12
											


		

											Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50",,90,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,FGA0067,TEORIA DE CIRCUITOS ELETRÔNICOS 1,( ( MAT0048 ) OU ( MAT0026 ) ),-,Nenhuma,Não,Sim,Não,Não,1,"Grandezas elétricas e conceitos básicos de circuitos elétricos Leis de Kirchhoff e circuitos resistivos, Métodos de resolução: análise nodal e análise de malhas Técnicas de análise: superposição, transformação de fontes equivalentes Thevenin e Norton  Elementos armazenadores de energia Funções singulares: degrau unitário, rampa unitária, impulso Transformada de Laplace: Análise de transitórios e em regime permanente senoidal Diodo ideal e Amplificadores Operacionais Circuitos de 1ª e 2ª ordens.",Não informado
03,FGA0067 - TEORIA DE CIRCUITOS ELETRÔNICOS 1,LUCIANO EMIDIO NEVES DA FONSECA (60h),"24T23
											


		

											Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50",,90,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,FGA0067,TEORIA DE CIRCUITOS ELETRÔNICOS 1,( ( MAT0048 ) OU ( MAT0026 ) ),-,Nenhuma,Não,Sim,Não,Não,1,"Grandezas elétricas e conceitos básicos de circuitos elétricos Leis de Kirchhoff e circuitos resistivos, Métodos de resolução: análise nodal e análise de malhas Técnicas de análise: superposição, transformação de fontes equivalentes Thevenin e Norton  Elementos armazenadores de energia Funções singulares: degrau unitário, rampa unitária, impulso Transformada de Laplace: Análise de transitórios e em regime permanente senoidal Diodo ideal e Amplificadores Operacionais Circuitos de 1ª e 2ª ordens.",Não informado
01,FGA0068 - TEORIA DE CIRCUITOS ELETRÔNICOS 2,GILMAR SILVA BESERRA (60h),"24M12
											


		

											Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50",,60,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,FGA0068,TEORIA DE CIRCUITOS ELETRÔNICOS 2,( ( FGA0196 ) OU ( FGA0067 E FGA0069 E FGA0101 E FGA0100 ) ),-,Nenhuma,Não,Sim,Não,Não,1,Funções de transferência no domínio da frequência Diodos Transistor de junção bipolar (TJB) Introdução à Física dos Dispositivos FET.,Não informado
